,absorption/nm,emission/nm,plqy,e/m-1cm-1,smiles,solvent,reference(doi),source,tag_name
51103,560.0,603.0,0.032000002,,O=[N+]([O-])c1ccc(C2=C3C=CC(c4ccccc4)=[N+]3[B-](F)(F)n3c2ccc3-c2ccccc2)cc1,CCOC(C)=O,10.1039/C3PP25385F,PubMed,BODIPY
25635,390.0,558.0,0.86,19010.8,CN(C)c1ccc2nc(-c3ccc(C(=O)O)cc3)sc2c1,CC#N,10.1016/j.jphotochem.2019.03.021,Deep4Chem,5p6
21988,507.0,523.0,0.939999998,,CCOC(=O)c1ccc(Cc2ccc3n2[B-](F)(F)[N+]2=CC=CC2=C3c2c(C)cc(C)cc2C)cc1,ClCCl,10.1039/C8CC04679D,PubMed,BODIPY
49875,390.0,475.0,0.610000014,,O=C1c2ccccc2-c2c(-c3cc(Cl)ccc3O)nc(O)n21,CC#N,10.1021/ol061520n,Deep4Chem,5n6
46044,364.0,493.0,0.180000007,,N#Cc1c(N2CCCCC2)cc(-c2ccc(Br)s2)c2c1CCc1ccccc1-2,C1CCOC1,10.1021/jo501891w,Deep4Chem,5n6
1281,353.0,485.0,0.349999994,28900.0,C(=C/c1ncc(-c2ccc(OCc3ccccc3)c(OCc3ccccc3)c2)o1)\c1cccc(N2CCCC2)c1,ClCCl,10.1016/j.tetlet.2013.04.037,Deep4Chem,5n6
52257,285.0,337.0,,,OC1=Nc2ccccc2N=C(O)C1,CS(C)=O,10.1016/j.saa.2016.11.028,Deep4Chem,Benz
45892,371.0,452.0,0.01,19000.0,N#Cc1c(-c2ccc(Br)cc2)cc(-c2ccc(Br)cc2)nc1O,ClC(Cl)Cl,10.1016/j.saa.2016.12.035,Deep4Chem,6n6
52031,354.0,447.0,0.680000007,21878.0,O=c1oc2ccccc2cc1-c1nc2ccccc2o1,OCCO,10.1016/S1386-1425(02)00164-6,Deep4Chem,Coumarin
43294,394.0,539.0,0.180000007,,Cn1nc2ccc([N+](=O)[O-])cc2c1-c1ccc(C=O)o1,CC#N,10.1021/jacs.5b09241,ChemFluo,5p6
25908,432.0,570.0,0.109999999,38642.0,CN(CCO)c1ccc(/C=C/C(=O)c2ccc(NC(=O)c3c(F)c(F)c(F)c(F)c3F)cc2)cc1,CS(C)=O,10.1039/c2cc31662e,ChemFluo,6n6
43824,764.0,788.0,0.14,100000.0,F[B-]1(F)n2c(c3cc4ccccc4cc3c2-c2ccccc2)C=C2c3cc4ccccc4cc3C(c3ccccc3)=[N+]21,CN(C)C=O,10.1021/acs.joc.5b02720,"Deep4Chem,SMFluo",BODIPY
21532,533.0,546.0,0.07,,CCOC(=O)CSc1ccc2n1[B-](F)(F)[N+]1=CC=CC1=C2c1ccc(C)cc1,C1CCCCC1,10.1016/j.jphotochem.2019.112206,PubMed,BODIPY
38523,502.0,523.0,0.009,,Cc1cc(C)c(C2=C3C=CC=[N+]3[B-](F)(F)n3c2ccc3S(=O)(=O)c2ccc([N+](=O)[O-])cc2[N+](=O)[O-])c(C)c1,ClC(Cl)Cl,10.1039/D0CC07259A,PubMed,BODIPY
5371,486.0,633.0,,,CC(C)(C)c1ccc2c(N(c3ccccc3)c3cccc4ccccc34)c3cc(C(C)(C)C)ccc3c(-c3ccc(-c4ccc(-c5ccc(/C=C(\C#N)C(=O)O)s5)c5nsnc45)s3)c2c1,C1CCOC1,10.1016/j.dyepig.2011.02.006,DSSCDB,Triphenylamine
23057,523.0,551.0,0.460000008,,CCc1c(C)c2n(c1C)[B-](F)(F)[N+]1=C(c3ccccc3)C(C)=C(C)C1=C2c1ccccc1,ClCCl,10.1002/chem.201406550,PubMed,BODIPY
30168,354.0,430.0,0.01,,COc1cc(/C=C2/SC(=O)N=C2O)ccc1O,CC#N,10.1016/j.saa.2009.01.001,Deep4Chem,5n6
3394,351.0,410.0,0.370000005,16368.0,CC(=O)OCCN1C(=O)c2cccc3c(Oc4ccc(C#N)cc4)ccc(c23)C1=O,ClC(Cl)Cl,10.1016/j.optmat.2013.11.017,Deep4Chem,Naphthalimide
46759,350.0,450.0,,,N=C([O-])C1=CN([C@H]2C[C@H](O)[C@@H](COP(=O)([O-])OP(=O)(O)OC[C@H]3O[C@@H](n4cnc5c(N)ncnc54)C[C@@H]3O)O2)C=CC1,O,http://www.iss.com/resources/reference/data_tables/FL_LifetimeStandards.html,Deep4Chem,5p6
35895,396.0,485.0,0.013,11000.0,CSc1sc(C(=O)c2ccccc2)c2nnnc(O)c12,CC#N,10.1016/j.saa.2009.03.026,Deep4Chem,5n6
41950,376.0,432.0,0.3,6456.5,Cc1ccccc1C(O)=NN1C2=C(CC3=C1CC(C)(C)CC3=O)C(=O)CC(C)(C)C2,CO,10.1016/S1386-1425(01)00599-6,"Deep4Chem,DYES",Cyanine
40307,344.0,425.0,,,Cc1ccc(/C=N/c2cc(C(C)C)c(O)cc2C)cc1,OCCO,10.1016/j.jlumin.2018.02.007,Deep4Chem,6n6
30203,291.0,340.0,,39811.0,COc1cc(C(=O)O)ccc1O,CC(C)(C)O,10.1016/j.molstruc.2006.01.038,Deep4Chem,Benz
45041,477.3,628.0,,,N#C/C(=C\c1ccc(-c2ccc(-c3ccc(-c4ccc(N(c5ccccc5)c5ccccc5)cc4)s3)s2)s1)C(=O)O,C1CCOC1,"10.1016/j.jpowsour.2013.03.091,10.1021/cm702631r,10.1039/C3TA14404F","DSSCDB,Dye aggregation",Triphenylamine
20863,391.0,519.0,,32800.0,CCOC(=O)/C(=C/c1ccc(N(C)C)cc1)n1nc2ccccc2n1,CO,10.1039/c9ra00108e,ChemFluo,5p6
45260,464.0,587.0,,,N#C/C(=C\c1ccc2c(c1)C1CCCC1N2c1ccc(C=C(c2ccccc2)c2ccccc2)cc1)C(=O)O,ClC(Cl)Cl,10.1016/j.dyepig.2011.02.009,DSSCDB,5p6
44739,493.0,529.0,,,Fc1ccc(N(c2ccc(F)cc2)c2ccc3c4cccc5c(N(c6ccc(F)cc6)c6ccc(F)cc6)ccc(c6cccc2c63)c54)cc1,C1CCCCC1,10.1021/acs.joc.9b01849,Deep4Chem,Triphenylamine
41741,397.0,453.0,0.360000014,19498.0,Cc1cccc(C)c1N1C(c2ccccc2)=Cc2cccc[n+]2[B-]1(F)F,ClCCl,10.1016/j.ica.2013.05.034,Deep4Chem,BODIPY
46179,405.0,498.0,,,N#Cc1cc(C#N)c(-c2cc(-n3c4ccccc4c4ccccc43)cc(-n3c4ccccc4c4ccccc43)c2)cc1-c1ccc(N(c2ccccc2)c2ccccc2)cc1,Cc1ccccc1,10.1021/acsami.7b10202,Deep4Chem,Carbazole
21420,480.0,557.0,0.720000029,13300.0,CCOC(=O)CN1C(=O)C2=C(c3ccc(C#N)cc3)N(CC(=O)OCC)C(=O)C2=C1c1ccc(C#N)cc1,CS(C)=O,10.1016/j.dyepig.2011.05.004,Deep4Chem,Cyanine
54911,365.0,407.0,0.959999979,,c1ccc2c(c1)c1ccccc1n2-c1ccc(-c2cc3ccc(-c4ccc5cc(-c6ccc(-n7c8ccccc8c8ccccc87)cc6)oc5c4)cc3o2)cc1,Cc1ccccc1,10.1021/acsmaterialslett.9b00536,Deep4Chem,Carbazole
12597,376.0,416.0,0.048,74600.0,CCCCC1(CCCC)c2cc(C#Cc3ccc(C=C(c4ccccc4)c4ccccc4)cc3)ccc2-c2ccc(C#Cc3ccc(C=C(c4ccccc4)c4ccccc4)cc3)cc21,C1CCOC1,10.1021/jp073767n,Deep4Chem,6n6
31798,393.0,497.0,0.029999999,5525.0,COc1ccc(-c2c(C#N)c3ccccn3c2N)cc1,CN(C)C=O,10.1039/C7OB01239J,ChemFluo,5p6
54453,261.0,365.0,,25400.0,c1ccc(COc2cc(C[n+]3ccc(-c4cc[n+](Cc5cc(OCc6ccccc6)cc(OCc6ccccc6)c5)cc4)cc3)cc(OCc3ccccc3)c2)cc1,CC#N,10.1016/j.ica.2006.08.026,Deep4Chem,6n6
44343,574.0,603.0,0.145,,F[B-]1(F)n2cccc2C(c2ccccc2)=C2C=CC(c3ccc[nH]3)=[N+]21,CO,"10.1021/jo201183s,10.1039/c2ob06689k",PubMed,BODIPY
50803,430.0,665.0,0.007,,O=S1(=O)C2=C(c3ccc(-c4ccc(N(c5ccccc5)c5ccccc5)cc4)cc31)C1(C3=C(c4ccccc41)S(=O)(=O)c1cc(-c4ccc(N(c5ccccc5)c5ccccc5)cc4)ccc13)c1ccccc12,CC#N,10.1021/acs.joc.8b02301,Deep4Chem,Triphenylamine
31314,339.0,414.0,0.326999992,,COc1cc2[nH]c3c(c2cc1OC)CCCC3=O,CS(C)=O,10.1016/j.jphotochem.2012.05.006,Deep4Chem,5p6
55051,359.0,444.0,,,c1ccc2nc3cccc(-c4ccc(-n5c6ccccc6c6ccccc65)cc4)c3cc2c1,CC(C)OC(C)C,10.1021/acs.jpcc.8b07083,Deep4Chem,Carbazole
4213,538.5,568.0,0.07,46000.0,CC(C)(C)N=C(O)C(OC(=O)c1ccccc1)c1ccc(C2=C3C=CC(c4ccc([N+](=O)[O-])cc4)=[N+]3[B-](F)(F)n3cccc32)cc1F,C1CCOC1,10.1021/acsomega.8b00753,ChemFluo,BODIPY
3109,502.0,527.0,0.004,,C=Cc1ccc(C2=C3C=CC=[N+]3[B-](F)(F)n3cccc32)cc1,C1CCOC1,10.1021/acs.joc.5b00731,PubMed,BODIPY
31625,362.0,577.0,0.050000001,,COc1cc2cc(C#Cc3ccc([N+](=O)[O-])cc3)c(C#Cc3ccc([N+](=O)[O-])cc3)cc2cc1OC,ClC(Cl)Cl,10.1016/j.tetlet.2013.01.096,ChemFluo,PAHs
46566,346.0,419.0,0.649999976,,N#Cc1cccc(N)c1C#N,O,10.1016/j.cplett.2006.03.073,Deep4Chem,Benz
23756,339.0,373.0,0.400000006,12100.0,CCn1c2ccccc2c2ccc(-n3c4ccccc4c4ccccc43)cc21,C1CCOC1,10.1021/jp111333v,Deep4Chem,Carbazole
50167,389.0,550.0,0.00275,,O=C1c2cccn2[B-](F)(F)[n+]2ccccc21,ClC(Cl)Cl,10.1016/j.cplett.2007.01.001,Deep4Chem,BODIPY
32315,599.0,657.0,0.180000007,,COc1ccc(-c2coc(/C=C/c3cc(C)c4n3[B-](F)(F)[N+]3=CC=CC3=C4)c2)cc1Cl,CS(C)=O,10.1039/C0CC04495D,PubMed,BODIPY
31313,338.0,461.0,0.119000003,,COc1cc2[nH]c3c(c2cc1OC)CCCC3=O,CO,10.1016/j.jphotochem.2012.05.006,Deep4Chem,5p6
46232,356.0,406.0,0.059700001,32765.0,N#Cc1cc2ccc(O)cc2oc1=O,CCOC(C)=O,10.1016/j.molliq.2014.02.029,Deep4Chem,Coumarin
47786,340.0,412.0,,,O=C(/C=C1\C(O)=Nc2ccccc21)c1ccccc1,CO,10.1016/j.molstruc.2011.12.043,Deep4Chem,5p6
33384,399.0,549.0,,,COc1ccc(C2=[O+]C(=C3C=CN(Cc4cccc(C(=O)ON5C(=O)CCC5=O)c4)C=C3)N=C2)cc1S(=O)(=O)[O-],O,Fluorophores,ChemFluo,6n6
3436,701.0,769.0,0.200000003,,CC(=O)OC[C@H]1O[C@@H](OCC#Cc2ccc(C3=C4C(C)=CC(/C=C/c5ccc(N(C)C)cc5)=[N+]4[B-](F)(F)n4c(/C=C/c5ccc(N(C)C)cc5)cc(C)c43)cc2)[C@H](OC(C)=O)[C@@H](OC(C)=O)[C@@H]1OC(C)=O,CC#N,10.1016/j.dyepig.2014.05.022,PubMed,BODIPY
38692,606.0,649.0,0.579999983,,Cc1cc(C)c(C2=c3cc(Br)c(=c4scc5c4=[O+]CCO5)n3[B-](F)(F)n3c2cc(Br)c3-c2scc3c2OCCO3)c(C)c1,ClCCl,10.1021/acs.joc.6b00858,PubMed,BODIPY
38603,516.0,534.0,0.200000003,,Cc1cc(C)c(C2=C3C=CC=[N+]3[B-](F)(F)n3cc([Si](C)(C)[Si](C)(C)c4ccccc4)cc32)c(C)c1,Cc1ccccc1,10.1039/c8cc04962a,PubMed,BODIPY
48341,389.0,451.0,0.400000006,,O=C(O)c1c2ccccc2c(C(=O)O)c2ccccc12,CN(C)C=O,10.1016/j.jphotochem.2016.12.021,Deep4Chem,PAHs
22855,447.0,594.0,0.140000001,17600.0,CC[n+]1ccc(/C=C/c2ccc3ccc4cccc5ccc2c3c45)cc1,C1CCOC1,10.1016/j.snb.2018.08.075,Deep4Chem,PAHs
13913,537.0,548.0,0.75,,CCCCCCCCCCCCSc1ccc2n1[B-](F)(F)[N+]1=CC=CC1=C2c1c(C)cc(C)cc1C,ClCCl,10.1039/C8CC09821B,PubMed,BODIPY
42317,359.0,444.0,0.068000004,1060.0,Cc1nnc(-c2cc(-c3nnc(C)o3)c(-n3c4ccccc4c4ccccc43)cc2-n2c3ccccc3c3ccccc32)o1,Cc1ccccc1,10.1021/acs.jpcc.9b08479,Deep4Chem,Carbazole
36325,498.0,618.0,,25000.0,C[N+](C)=C1C=CC(=CC=C2C=CN(Cc3cc(CN4C=CC(=CC=C5C=CC(=[N+](C)C)C=C5)C=C4)cc(CN4C=CC(=CC=C5C=CC(=[N+](C)C)C=C5)C=C4)c3)C=C2)C=C1,CO,10.1016/j.dyepig.2004.02.011,Deep4Chem,Cyanine
36659,528.0,541.0,,,C[O+]=C1C=CC(=C2c3cccn3[B-](F)(F)n3c2ccc3-n2cc(-c3cccc(F)c3)nn2)C=C1,ClC(Cl)Cl,10.1007/s11426-011-4452-2,PubMed,BODIPY
9852,513.0,548.0,0.01,,CC1=[N+]2C(=C(C(=O)c3[nH]c(C)cc3C)c3c(C)cc(C)n3[B-]2(F)F)C=C1,ClCCl,10.1016/j.dyepig.2020.108209,PubMed,Cyanine
54418,405.0,577.0,0.182999998,,c1ccc(C2CCN3COc4c5ccccc5c5c6c7c(c2c3c46)C(c2ccccc2)CCN7CO5)cc1,C1COCCO1,10.1021/jp511264r,Deep4Chem,PAHs
52979,294.0,367.0,,,Oc1ccccc1/C=N/c1ccc(Cn2cncn2)cc1,CC(C)O,10.1016/j.molstruc.2016.02.036,Deep4Chem,6n6
20074,612.0,644.0,0.617999971,78200.0,CCN(CC)c1ccc2cc3c([o+]c2c1)-c1ccc(N(C)C)cc1CC3,CCO,10.1021/acs.joc.6b00981,Deep4Chem,6p6
28637,355.0,632.0,0.059999999,,COC(C)CC1=N/C(=C\c2cccc(N(C)C)c2)C(=O)N1C,CC#N,10.1021/ol302237k,Deep4Chem,5n6
30297,626.0,670.0,0.33,85113.8,COc1cc(C2=CC3=C(c4c(C)cc(C)cc4C)c4cc(-c5cc(OC)c(OC)c(OC)c5)c(-c5cc(OC)c(OC)c(OC)c5)n4[B-](F)(F)[N+]3=C2c2cc(OC)c(OC)c(OC)c2)cc(OC)c1OC,C1CCCCC1,10.1021/acs.joc.9b01425,"Deep4Chem,PubMed",BODIPY
13363,369.0,536.0,,,CCCCCCCCC1(CCCCCCCC)c2ccccc2-c2ccc(C#Cc3ccc4c(c3)C(=O)c3cc(C#Cc5ccc6c(c5)C(CCCCCCCC)(CCCCCCCC)c5ccccc5-6)ccc3-4)cc21,C1CCOC1,10.1016/j.dyepig.2012.12.029,ChemFluo,6n6
8186,522.0,554.0,,,CC1=C(C=C(Br)Br)C(C)=[N+]2C1=C(c1ccccc1)c1c(C)c(C=C(Br)Br)c(C)n1[B-]2(F)F,CN(C)C=O,10.1039/C9DT02309G,PubMed,BODIPY
54572,390.0,572.0,0.145899996,,c1ccc(N(c2ccccc2)c2ccc(-c3cccc4nc5ccccc5cc34)cc2)cc1,CC#N,10.1021/acs.jpcc.8b07083,Deep4Chem,Triphenylamine
361,488.0,539.0,0.389999986,,Brc1ccc(C2=C(c3ccc(Br)cc3)c3cccc4c3c(cc3nc5ccccc5nc34)O2)cc1,ClCCl,10.1021/acsomega.7b00335,Deep4Chem,PAHs
7027,749.0,768.0,0.360000014,228000.0,CC1(C)C2=CC=CC=CC=CC3=[N+](CCCCCC([O-])=NCCCN=C(O)CCCCCN2c2ccc(S(=O)(=O)[O-])cc21)c1ccc(S(=O)(=O)O)cc1C3(C)C,O,10.1016/j.dyepig.2012.12.031,Deep4Chem,Cyanine
32521,449.0,597.0,,,COc1ccc(-n2c3ccccc3c3cc(/C=C/C(=C(C#N)C#N)c4ccccc4)ccc32)cc1,CO,10.1016/j.jlumin.2018.05.059,Deep4Chem,Carbazole
23054,599.0,622.0,0.970000029,25119.0,CCc1c(C)c2n(c1C)[B-](F)(F)[N+]1=C(c3ccc[nH]3)c3ccccc3C1=C2C,CO,10.1021/acs.joc.6b00414,Deep4Chem,BODIPY
36707,548.0,573.0,0.930000007,,C[O+]=C1C=CC(=c2ccc3n2[B-](F)(F)n2c(Cl)ccc2C=3C)C=C1,Cc1ccccc1,10.1002/ejoc.201100324,PubMed,BODIPY
43883,617.0,648.0,0.930000007,,F[B-]1(F)n2c(cc(Cl)c2Cl)C(c2ccccc2)=C2C=C(Cl)C(c3ccc[nH]3)=[N+]21,ClCCl,10.1021/ol500507f,PubMed,BODIPY
8715,488.0,524.0,0.939999998,,CC1=C2C=CC=[N+]2[B-](F)(F)n2c(NCc3ccccc3)ccc21,O=C1CCCCC1,10.1002/ejoc.201800083,PubMed,BODIPY
1409,365.0,441.0,0.143000007,71000.0,C(S/C=C/c1ccc(-c2ccc(/C=C/SC=C(c3ccccc3)c3ccccc3)cc2)cc1)=C(c1ccccc1)c1ccccc1,ClCCl,10.1016/j.jphotochem.2014.06.003,Deep4Chem,6n6
50306,486.0,617.0,0.289999992,,O=Cc1cc(N2CCCCC2)c2ccc3c(C=O)cc(N4CCCCC4)c4ccc1c2c34,CCO,10.1021/acs.joc.5b01987,ChemFluo,PAHs
34358,467.0,550.0,0.50999999,18200.0,COc1ccc2c(c1)C(C)(C)C1=[N+]2[B-](F)(F)n2cccc2-c2c1cc1n2CC=C1,CS(C)=O,10.1016/j.tet.2018.04.063,ChemFluo,BODIPY
42031,669.0,686.0,0.180000007,120000.0,Cc1ccccc1C1=c2ccc(N(C)C)cc2=[Te+](=O)c2cc(N(C)C)ccc21,O,10.1002/anie.201901061,ChemFluo,Acridines
40779,518.0,547.0,0.01,18009.4,Cc1ccc(C2=C3C=CC=[N+]3[B-](F)(F)n3cc(I)cc32)cc1,CCO,10.1016/j.tet.2011.11.070,"Deep4Chem,PubMed",BODIPY
23541,357.0,418.0,,,CCn1c2ccccc2c2c(N(c3ccccc3)c3ccccc3)cccc21,ClCCl,10.1021/acsami.7b18044,Deep4Chem,Carbazole
46363,358.0,436.0,0.090000004,31700.0,N#Cc1ccc(/C=C/c2ccc3ncnc(Nc4ccccc4)c3c2)cc1,ClC(Cl)Cl,10.1021/jo500520x,Deep4Chem,6p6
25343,420.0,526.0,0.230000004,6800.0,CN(C)c1ccc2c(c1)-c1ccccc1C2=O,c1ccccc1,10.1021/jp980158u,Deep4Chem,6n6
49547,448.0,582.0,0.209999993,7080.0,O=C1N=C(O)C(c2c[nH]c3ccccc23)=C1c1c[nH]c2ccccc12,ClCCl,10.1021/jp051035u,Deep4Chem,5p6
1094,518.0,647.0,0.050000001,44000.0,C(=C/c1ccc(N(c2ccc(/C=C/c3ccc(N(c4ccccc4)c4ccccc4)cc3)cc2)c2ccc(/C=C/c3ccc(/C=C/c4ccc(N(c5ccc(/C=C/c6ccc(N(c7ccccc7)c7ccccc7)cc6)cc5)c5ccc(/C=C/c6ccc(N(c7ccccc7)c7ccccc7)cc6)cc5)cc4)c4nsnc34)cc2)cc1)\c1ccc(N(c2ccccc2)c2ccccc2)cc1,CCOC(C)=O,10.1016/j.optmat.2013.12.047,Deep4Chem,Triphenylamine
44463,286.0,338.0,0.061000001,6918.0,F[Si-](F)(c1ccccc1)(c1ccccc1)c1cccc2ccccc12,C1CCOC1,10.1021/ja001042q,Deep4Chem,PAHs
33388,738.0,756.0,0.37,242102.9,COc1ccc(C2=[O+]c3cc4n(c3=C2Br)[B-](F)(F)n2c(cc3oc(-c5ccc(OC)cc5)c(Br)c32)C=4C(F)(F)F)cc1,ClC(Cl)Cl,10.1021/ol2014076,"Deep4Chem,SMFluo",BODIPY
46195,330.0,408.0,0.140000001,2650.0,N#Cc1cc(N)cc(C#N)c1,O,10.1016/j.cplett.2006.03.073,Deep4Chem,Benz
33989,359.0,471.0,0.029999999,,COc1ccc(O)c(C=O)c1,CO,10.1021/acs.joc.6b01969,Deep4Chem,Benz
12404,328.0,377.0,0.569999993,,CCCCC(CC)COc1cc(OCC(CC)CCCC)c2c#cc3ccc4oc5ccc(c#cc6cc(c#cc7ccc8oc9ccc(c#cc1c2)cc9c8c7)c(C(CCCC)OCCC)cc6C(CCCC)OCCC)cc5c4c3,ClCCl,10.1016/j.tet.2018.03.072,Deep4Chem,5p6
34104,535.0,561.0,0.005,,COc1ccc(SC2=[N+]3C(C=C2)C(c2ccc(C)cc2)c2cccn2[B-]3(F)F)cc1,ClCCl,10.1021/acs.orglett.8b03954,PubMed,BODIPY
30041,392.0,473.0,0.479999989,47900.0,COc1cc(-c2nc3c4cccnc4c4ncccc4c3[nH]2)c(OC)cc1/C=C/c1ccncc1,CC#N,10.1016/j.jphotochem.2017.05.025,Deep4Chem,5p6
36205,431.0,464.0,0.649999976,,C[N+](C)=C1C=CC(=C2N=C3Sc4c(F)c(F)c(F)c(F)c4N3[B-](F)(F)O2)C=C1,Cc1ccccc1,10.1021/acs.joc.8b02098,Deep4Chem,Cyanine
50195,359.0,448.0,0.01,20300.0,O=CC1=Cc2c(-c3ccccc3)oc(-c3ccccc3)c2C=C(C=O)C1,Cc1ccccc1,10.1016/j.dyepig.2017.04.035,Deep4Chem,5n6
21157,643.0,684.0,0.001,,CCOC(=O)C1=C(c2ccccc2)C2=Cc3c(-c4ccccc4)c(C(=O)OCC)c(/C=C/OC(C)=O)n3[B-](F)(F)[N+]2=C1/C=C/N(C)C,ClCCl,10.1039/C2OB27004H,PubMed,Cyanine
8674,522.0,549.0,1.0,,CC1=C2C=CC(c3ccc(C(C)(C)C)cc3)=[N+]2[B-](F)(F)n2c(C)cc(C)c21,CCOCC,10.1039/C6RA22340K,PubMed,BODIPY
35819,485.0,550.0,,,CSc1ccc(-c2c3ccc(=[NH2+])cc-3n(C)c3cc(N(C)C)ccc23)cc1,O,10.1021/ja068230m,ChemFluo,Acridines
1331,365.0,407.0,0.0003,28300.0,C(=C1c2ccccc2-c2ccccc21)c1ccc(C=C2c3ccccc3-c3ccccc32)cc1,C1CCOC1,10.1021/jp073767n,Deep4Chem,6n6
51929,356.0,514.0,0.002,23120.6,O=c1oc2cc3ccccc3cc2nc1-c1ccccc1,c1ccccc1,"10.1021/jo800039r,10.1016/j.jphotochem.2008.06.014",Deep4Chem,Coumarin
25226,542.0,568.0,,,CN(C)c1ccc2c(-c3ccc(C(=O)O)cc3C(=O)[O-])c3ccc(N(C)C)cc3[o+]c2c1,CO,10.1002/qsar.200510142,ChemFluo,Acridines
10570,392.0,491.0,0.910000026,33000.0,CCC1(CC)c2cc(C=O)ccc2-c2ccc(N(C)C)cc21,ClCCl,10.1021/jp103410x,Deep4Chem,6n6
53402,540.0,575.0,,,[NH2+]=c1ccc2c(-c3cccc(Cl)c3)c3ccc(N4CCCCC4)cc3oc-2c1,O,10.1021/ja068230m,ChemFluo,Benz
24493,488.0,643.0,0.379999995,,CN(C)c1ccc(/C=C/C=C2\CC/C(=C\c3ccc(N(C)C)cc3)C2=O)cc1,c1ccncc1,10.1016/j.molstruc.2016.02.009,Deep4Chem,5n6
46335,381.0,522.0,0.319999993,24900.0,N#Cc1ccc(/C=C/C=C/C2=NC3C(O)=NC(=N)NC3N2[C@H]2C[C@H](O)[C@@H](CO)O2)cc1,CO,10.1016/j.tetlet.2010.11.053,Deep4Chem,5p6
5117,330.0,386.0,,,CC(C)(C)c1ccc(-c2nc3c4ccc(-c5ccccc5)cc4c4cc(-c5ccccc5)ccc4c3n2-c2ccc(C(C)(C)C)cc2)cc1,CCOCC,10.1021/acsami.7b06547,Deep4Chem,PAHs
30157,352.0,463.0,0.02,38000.0,COc1cc(/C=C/c2ncc(-c3ccncc3)o2)cc(OC)c1OC,ClCCl,10.1016/j.tetlet.2013.04.037,Deep4Chem,5n6
17262,417.0,610.0,0.050000001,,CCCCN1c2ccccc2Sc2cc(/C=C/C3=Nc4ccc5ccccc5c4C3(C)C)ccc21,CC#N,10.1016/j.saa.2016.10.045,Deep4Chem,PAHs
36670,534.0,577.0,,,C[O+]=C1C=CC(=C2c3cccn3[B-](F)(F)n3cc(-c4ccc(C=O)cc4)cc32)C=C1,ClCCl,10.1016/j.dyepig.2020.108399,PubMed,BODIPY
49231,575.0,586.0,0.730000019,68000.0,O=C1C2=C3c4ccsc4C=CN3C(=O)C2=C2c3ccsc3C=CN12,CN(C)C=O,10.1021/ol300674v,Deep4Chem,Cyanine
51612,450.0,477.0,,,O=c1c2ccccc2n2c3ccccc3c(=O)c3cc(-c4ccccc4)cc1c32,CN(C)C=O,10.1021/acsami.8b19635,Deep4Chem,Acridines
6863,539.0,566.0,0.119999997,107000.0,CC/N=c1\ccc2c(-c3ccccc3C(=O)O)c3cc(C)c(NCC)cc3oc-2c1,O,10.1002/anie.201901061,ChemFluo,Benz
